[0.05, 0.125, 0.075, 0.3, 0.225, 0.175, 0.025, 0.0, 0.025, 0, 0]
[0.025, 0.025, 0.025, 0.275, 0.325, 0.275, 0.05, 0, 0, 0, 0]
[0.375, 0.075, 0.175, 0.125, 0.175, 0.025, 0.05, 0, 0, 0, 0]
[0.25, 0.1, 0.25, 0.325, 0.075, 0, 0, 0, 0, 0, 0]
[0.225, 0.25, 0.2, 0.15, 0.1, 0.075, 0, 0, 0, 0, 0]
[0.2, 0.275, 0.125, 0.275, 0.0, 0.025, 0.05, 0.0, 0.0, 0.05, 0]
[0.25, 0.15, 0.25, 0.125, 0.125, 0.1, 0, 0, 0, 0, 0]
[0.45, 0.15, 0.25, 0.1, 0.05, 0, 0, 0, 0, 0, 0]
[0.05, 0.15, 0.375, 0.3, 0.125, 0, 0, 0, 0, 0, 0]
[0.05, 0.05, 0.2, 0.625, 0.025, 0.05, 0, 0, 0, 0, 0]
[0.05, 0.125, 0.25, 0.325, 0.2, 0.05, 0, 0, 0, 0, 0]
[0.25, 0.175, 0.175, 0.175, 0.175, 0.05, 0, 0, 0, 0, 0]
[0.025, 0.075, 0.05, 0.4, 0.3, 0.125, 0.025, 0, 0, 0, 0]
[0.6, 0.225, 0.1, 0.075, 0, 0, 0, 0, 0, 0, 0]
[0.47368421052631576, 0.23684210526315788, 0.15789473684210525, 0.07894736842105263, 0.05263157894736842, 0, 0, 0, 0, 0, 0]
[0.125, 0.075, 0.35, 0.4, 0.05, 0, 0, 0, 0, 0, 0]
[0.1, 0.225, 0.15, 0.35, 0.125, 0.05, 0, 0, 0, 0, 0]
[0.075, 0.325, 0.25, 0.2, 0.075, 0.075, 0, 0, 0, 0, 0]
[0.45, 0.3, 0.175, 0.05, 0.025, 0, 0, 0, 0, 0, 0]
[0.05, 0.125, 0.325, 0.325, 0.1, 0.075, 0, 0, 0, 0, 0]
[0.025, 0.0, 0.275, 0.55, 0.1, 0.025, 0.025, 0, 0, 0, 0]
[0.5, 0.075, 0.125, 0.25, 0.05, 0, 0, 0, 0, 0, 0]
[0.1, 0.125, 0.275, 0.275, 0.15, 0.075, 0, 0, 0, 0, 0]
[0.025, 0.025, 0.1, 0.225, 0.3, 0.225, 0.1, 0, 0, 0, 0]
[0.125, 0.125, 0.2, 0.325, 0.125, 0.05, 0.05, 0, 0, 0, 0]
[0.1, 0.1, 0.175, 0.275, 0.2, 0.1, 0.0, 0.025, 0.0, 0.025, 0]
[0.05, 0.1, 0.275, 0.125, 0.325, 0.05, 0.025, 0.05, 0, 0, 0]
[0.6, 0.275, 0.05, 0.075, 0, 0, 0, 0, 0, 0, 0]
[0.15, 0.15, 0.35, 0.175, 0.125, 0.025, 0.025, 0, 0, 0, 0]
[0.5, 0.075, 0.175, 0.175, 0.05, 0.0, 0.025, 0, 0, 0, 0]
[0.325, 0.1, 0.3, 0.125, 0.1, 0.05, 0, 0, 0, 0, 0]
[0.025, 0.125, 0.15, 0.3, 0.225, 0.075, 0.05, 0.0, 0.0, 0.05, 0]
[0.05, 0.075, 0.35, 0.3, 0.175, 0.05, 0, 0, 0, 0, 0]
[0.05, 0.175, 0.425, 0.275, 0.075, 0, 0, 0, 0, 0, 0]
[0.1, 0.05, 0.225, 0.275, 0.225, 0.075, 0.05, 0, 0, 0, 0]
[0.325, 0.05, 0.25, 0.2, 0.1, 0.05, 0.0, 0.0, 0.0, 0.025, 0]
